days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of Taste searches
2020-03-01,11, 144236.7, 437517.99, 62502.57
2020-03-02,11, 211547.16, 427902.21, 76926.24
2020-03-03, 11, 177891.93, 317320.74, 52886.79
2020-03-04, 12, 182699.82, 240394.5, 0
2020-03-05, 16, 177891.93, 264433.95, 52886.79
2020-03-06, 19, 187507.71, 221162.94, 52886.79
2020-03-07,19, 177891.93, 254818.17, 0
2020-03-08,23, 192315.6, 302897.07, 62502.57
2020-03-09, 24, 144236.7, 254818.17, 0
2020-03-10, 31, 168276.15, 360591.75, 0
2020-03-11, 33, 211547.16, 259626.06, 0
2020-03-12, 41, 331744.41, 394246.98, 52886.79
2020-03-13,58, 298089.18, 341360.19, 0
2020-03-14,69, 399054.87, 307704.96, 0
2020-03-15,80, 288473.4, 413478.54, 0
2020-03-16,87, 360591.75, 394246.98, 81734.13
2020-03-17,106, 442325.88, 389439.09, 52886.79
2020-03-18,166, 466365.33, 451941.66, 105773.58
2020-03-19,248, 466365.33, 350975.97, 0
2020-03-20,386, 375015.42, 274049.73, 52886.79
2020-03-21,547, 370207.53, 283665.51, 57694.68
2020-03-22,639, 384631.2, 298089.18, 100965.69
2020-03-23,728, 480789, 423094.32, 177891.93
2020-03-24,857, 375015.42, 250010.28, 120197.25
2020-03-25,1132, 375015.42, 326936.52, 158660.37
2020-03-26,1542, 375015.42, 264433.95, 105773.58
2020-03-27,1971, 427902.21, 283665.51, 230778.72
2020-03-28,2381, 322128.63, 480789, 216355.05
2020-03-29,2722, 307704.96, 394246.98, 100965.69
2020-03-30,3065, 427902.21, 317320.74, 129813.03
2020-03-31,3588, 360591.75, 134620.92, 81734.13
2020-04-01,4402, 466365.33, 312512.85, 115389.36
2020-04-02,4952, 384631.2, 274049.73, 163468.26
2020-04-03,5773, 283665.51, 293281.29, 245202.39
2020-04-04,6566, 269241.84, 283665.51, 96157.8
2020-04-05,7117, 326936.52, 259626.06, 115389.36
2020-04-06,8150, 379823.31, 144236.7, 96157.8
2020-04-07,8968, 423094.32, 322128.63, 48078.9
2020-04-08,9897, 293281.29, 177891.93, 67310.46
2020-04-09,11372, 254818.17, 322128.63, 67310.46
2020-04-10,12291, 278857.62, 120197.25, 134620.92
2020-04-11,13208, 288473.4, 274049.73, 96157.8
2020-04-12,13776, 177891.93, 192315.6, 76926.24
2020-04-13,14487, 201931.38, 216355.05, 52886.79
2020-04-14,15303, 177891.93, 254818.17, 81734.13
2020-04-15,16106, 211547.16, 225970.83, 72118.35
2020-04-16,16928, 163468.26, 168276.15, 96157.8
2020-04-17,18131, 264433.95, 182699.82, 48078.9
2020-04-18,18927, 187507.71, 168276.15, 81734.13
2020-04-19,19441, 187507.71, 168276.15, 57694.68
2020-04-20,20035, 173084.04, 120197.25, 48078.9
2020-04-21,20949, 240394.5, 254818.17, 72118.35
2020-04-22,21769, 134620.92, 134620.92, 48078.9
2020-04-23,22706, 144236.7, 192315.6, 144236.7
2020-04-24,23650, 201931.38, 120197.25, 81734.13
2020-04-25,24494, 187507.71, 110581.47, 57694.68
2020-04-26,25209, 225970.83, 115389.36, 86542.02
2020-04-27,25963, 206739.27, 86542.02, 48078.9
2020-04-28,26868, 158660.37, 86542.02, 96157.8
2020-04-29,27839, 221162.94, 134620.92, 48078.9
2020-04-30,29072, 197123.49, 144236.7, 72118.35
2020-05-01,30342, 158660.37, 149044.59, 76926.24
2020-05-02,31433, 182699.82, 182699.82, 86542.02
2020-05-03,32299, 197123.49, 86542.02, 86542.02
2020-05-04,33134, 187507.71, 120197.25, 81734.13
2020-05-05,34286, 120197.25, 139428.81, 105773.58
2020-05-06,35441, 173084.04, 134620.92, 72118.35
2020-05-07,36682, 173084.04, 86542.02, 100965.69
2020-05-08,37943, 86542.02, 110581.47, 72118.35
2020-05-09,38849, 115389.36, 57694.68, 115389.36
2020-05-10,40037, 144236.7, 91349.91, 57694.68
2020-05-11,40988, 139428.81, 163468.26, 52886.79
2020-05-12,42348, 144236.7, 125005.14, 76926.24
2020-05-13,43822, 153852.48, 38463.12, 48078.9
2020-05-14,45169, 144236.7, 158660.37, 48078.9
2020-05-15,46987, 139428.81, 149044.59, 76926.24
2020-05-16,47866, 110581.47, 125005.14, 110581.47
2020-05-17,48828, 139428.81, 144236.7, 76926.24
2020-05-18,49788, 182699.82, 100965.69, 81734.13
2020-05-19,51080, 115389.36, 163468.26, 76926.24
2020-05-20,52369, 197123.49, 72118.35, 48078.9
2020-05-21,53441, 158660.37, 91349.91, 52886.79
2020-05-22,54369, 211547.16, 105773.58, 105773.58
2020-05-23,55451, 149044.59, 149044.59, 57694.68
2020-05-24,56050, 149044.59, 91349.91, 120197.25
2020-05-25,56490, 100965.69, 129813.03, 96157.8
2020-05-26,57573, 129813.03, 129813.03, 76926.24
2020-05-27,59105, 153852.48, 62502.57, 52886.79
2020-05-28,60820, 192315.6, 76926.24, 76926.24
2020-05-29,62073, 139428.81, 91349.91, 52886.79
2020-05-30,63396, 81734.13, 57694.68, 177891.93
2020-05-31,64974, 67310.46, 57694.68, 120197.25
2020-06-01,66081, 125005.14, 105773.58, 52886.79
2020-06-02,67966, 129813.03, 76926.24, 105773.58
2020-06-03,69546, 125005.14, 149044.59, 48078.9
2020-06-04,71330, 182699.82, 125005.14, 52886.79
2020-06-05,73323, 153852.48, 76926.24, 100965.69
2020-06-06,75077, 96157.8, 72118.35, 57694.68
2020-06-07,75948, 120197.25, 105773.58, 91349.91
2020-06-08,77326, 144236.7, 86542.02, 100965.69
2020-06-09,79271, 153852.48, 62502.57, 201931.38
2020-06-10,81771, 206739.27, 144236.7, 139428.81
2020-06-11,83772, 76926.24, 168276.15, 139428.81
2020-06-12,86031, 149044.59, 216355.05, 91349.91
2020-06-13,88120, 153852.48, 153852.48, 81734.13
2020-06-14,89542, 139428.81, 168276.15, 81734.13
2020-06-15,91726, 144236.7, 158660.37, 144236.7
2020-06-16,95973, 182699.82, 91349.91, 235586.61
2020-06-17,99466, 197123.49, 197123.49, 211547.16
2020-06-18,102677, 216355.05, 201931.38, 250010.28
2020-06-19,107322, 125005.14, 341360.19, 182699.82
2020-06-20,111594, 144236.7, 254818.17, 466365.33
2020-06-21,114886, 76926.24, 158660.37, 250010.28
2020-06-22,119646, 221162.94, 149044.59, 360591.75
2020-06-23,124726, 221162.94, 326936.52, 461557.44
2020-06-24,131310, 158660.37, 250010.28, 336552.3
2020-06-25,136783, 173084.04, 197123.49, 355783.86
2020-06-26,142582, 225970.83, 336552.3, 288473.4
2020-06-27,148639, 173084.04, 192315.6, 403862.76
2020-06-28,152866, 173084.04, 240394.5, 480789
2020-06-29,158756, 245202.39, 201931.38, 346168.08
2020-06-30,166703, 293281.29, 216355.05, 288473.4
2020-07-01,174826, 245202.39, 216355.05, 432710.1
2020-07-02,182260, 197123.49, 216355.05, 360591.75
2020-07-03,190049, 197123.49, 158660.37, 269241.84
2020-07-04,195707, 168276.15, 269241.84, 298089.18
2020-07-05,200137, 187507.71, 211547.16, 302897.07
2020-07-06,209350, 201931.38, 197123.49, 355783.86
2020-07-07,219164, 245202.39, 274049.73, 177891.93
2020-07-08, 229116, 317320.74, 120197.25, 235586.61
2020-07-09, 240025, 254818.17, 201931.38, 346168.08
2020-07-10, 249948, 197123.49, 221162.94, 149044.59
2020-07-11, 258280, 192315.6, 274049.73, 283665.51
2020-07-12, 264811, 187507.71, 259626.06, 350975.97
2020-07-13, 273732, 221162.94, 201931.38, 269241.84
2020-07-14, 284638, 211547.16, 187507.71, 254818.17
2020-07-15, 296478, 211547.16, 120197.25, 144236.7
2020-07-16, 311516, 225970.83, 235586.61, 182699.82
2020-07-17, 321254, 192315.6, 293281.29, 168276.15
2020-07-18,330059, 254818.17, 221162.94, 149044.59
2020-07-19,338036, 230778.72, 192315.6, 129813.03
2020-07-20,345672, 216355.05, 206739.27, 221162.94
2020-07-21,355594, 168276.15, 177891.93, 91349.91
2020-07-22,366561, 139428.81, 221162.94, 110581.47
2020-07-23,376104, 240394.5, 269241.84, 149044.59
2020-07-24,383662, 187507.71, 240394.5, 134620.92
2020-07-25,391609, 139428.81, 230778.72, 125005.14
2020-07-26,395738, 168276.15, 173084.04, 158660.37
2020-07-27,402295, 216355.05, 153852.48, 250010.28
2020-07-28,412849, 149044.59, 168276.15, 149044.59
2020-07-29,421891, 216355.05, 206739.27, 110581.47
2020-07-30,432134, 125005.14, 197123.49, 57694.68
2020-07-31,441767, 139428.81, 144236.7, 57694.68
2020-08-01,448224, 86542.02, 173084.04, 96157.8
2020-08-02,453291, 168276.15, 192315.6, 62502.57
2020-08-03,462007, 158660.37, 235586.61, 139428.81
2020-08-04,471427, 201931.38, 235586.61, 163468.26
2020-08-05,480789, 201931.38, 235586.61, 163468.26